epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2645,1.12359,3.55442,1.40471,0.00143,0.42857,0.146,0.11652,0.89475,4.56003,1.15087,0.0001,0.0001,0.0001
2,109.951,0.83348,3.28803,1.077,0.00286,0.85714,0.14857,0.13341,0.75122,3.95857,0.86661,0.000215644,0.000215644,0.000215644
3,158.023,0.73382,2.14118,1.0976,0.00286,0.85714,0.14878,0.1186,0.95192,4.03399,0.97356,0.000326536,0.000326536,0.000326536
4,207.451,0.75585,2.12274,1.04747,0.00333,1,0.15025,0.1343,0.91712,3.94689,0.93953,0.000432676,0.000432676,0.000432676
5,285.459,0.91742,1.90225,1.09136,0.00333,1,0.15001,0.1337,0.9042,3.99543,0.96783,0.000534064,0.000534064,0.000534064
6,338.593,0.9648,1.71832,1.08014,0.00286,0.85714,0.14934,0.13305,1.04691,4.14769,1.05317,0.0006307,0.0006307,0.0006307
7,383.814,0.82115,1.65823,1.01896,0.00238,0.71429,0.14793,0.08915,0.82387,4.24002,1.02379,0.000722584,0.000722584,0.000722584
8,429.797,0.88344,1.52413,1.09535,0.00286,0.85714,0.04008,0.0242,1.28753,4.21029,1.06378,0.000809716,0.000809716,0.000809716
9,470.973,0.7498,3.00264,0.89683,0.0051,0.85714,0.15406,0.07844,1.12064,4.21006,1.05028,0.000892096,0.000892096,0.000892096
10,513.365,0.92913,1.76064,1.1789,0.8634,0.14286,0.20231,0.15743,1.32862,3.97381,1.1992,0.000969724,0.000969724,0.000969724
11,553.754,0.83529,1.40318,1.10138,0.93912,0.14286,0.20432,0.12611,1.26486,3.84857,1.18223,0.0010426,0.0010426,0.0010426
12,595.768,1.03072,1.85929,1.14662,0.00333,1,0.04443,0.0273,1.14657,3.82904,1.1357,0.00111072,0.00111072,0.00111072
13,644.776,1.09318,1.54702,1.11973,0.15881,0.28571,0.15412,0.09469,1.05896,3.59233,1.06202,0.0011741,0.0011741,0.0011741
14,682.047,0.93497,1.61898,1.14387,0.95407,0.14286,0.19386,0.16436,1.10056,3.53268,1.17629,0.00123272,0.00123272,0.00123272
15,730.183,1.08117,1.59199,1.11997,0.60456,0.28571,0.29356,0.21446,1.15437,3.1716,1.12019,0.00128658,0.00128658,0.00128658
16,789.874,0.9469,1.56307,1.14763,0.35371,0.28571,0.29622,0.25707,0.96295,3.06498,1.04158,0.0013357,0.0013357,0.0013357
17,827.887,1.14572,1.54469,1.1037,1,0.28088,0.47281,0.38876,0.93585,2.99808,1.015,0.0013664,0.0013664,0.0013664
18,866.13,0.88031,1.346,1.03575,0.97171,0.71429,0.74123,0.55641,0.79076,2.60075,0.9464,0.0013268,0.0013268,0.0013268
19,904.471,1.24159,1.73279,1.42383,0.67915,0.71429,0.58102,0.44415,0.88622,2.56899,0.9942,0.0012872,0.0012872,0.0012872
20,943.171,0.80595,1.2406,1.0455,0.37329,0.71429,0.4092,0.2714,0.96247,3.06307,1.05032,0.0012476,0.0012476,0.0012476
